Path,Name,Default Culture,Key,en,Comment,fr-fr
eVolveMEP Data Table Tools/Properties/Resources,ValueMustBeProvided1Error,A value must be provided for '{0}'.,eVolveMEP Data Table Tools/Properties/Resources!ValueMustBeProvided1Error,A value must be provided for '{0}'.,,Une valeur doit être indiquée pour « {0} ».
eVolveMEP Data Table Tools/Properties/Resources,ValueMustBeProvided2Error,A value must be provided for '{0}' and '{1}'.,eVolveMEP Data Table Tools/Properties/Resources!ValueMustBeProvided2Error,A value must be provided for '{0}' and '{1}'.,,Une valeur doit être indiquée pour « {0} » et « {1} ».
eVolveMEP Data Table Tools/Properties/Resources,ValueMustBeProvided3Error,"A value must be provided for '{0}', '{1}' and '{2}'.",eVolveMEP Data Table Tools/Properties/Resources!ValueMustBeProvided3Error,"A value must be provided for '{0}', '{1}' and '{2}'.",,"Une valeur doit être indiquée pour « {0} », « {1} » et « {2} »."
eVolveMEP Data Table Tools/Properties/Resources,ValueMustBeProvidedWhenEnabledError,A value must be provided for '{0}' when enabled.,eVolveMEP Data Table Tools/Properties/Resources!ValueMustBeProvidedWhenEnabledError,A value must be provided for '{0}' when enabled.,,Une valeur doit être indiquée pour « {0} » en cas d'activation.
eVolveMEP CSV Data Exchange/Properties/Resources,ValueMustBeSelectedError,A {0} must be selected.,eVolveMEP CSV Data Exchange/Properties/Resources!ValueMustBeSelectedError,A {0} must be selected.,Tag refers to a data entry field,Un élément {0} doit être sélectionné.
eVolveMEP Data Table Tools/ToolsDialog,ViewSourceCodeLabel.Text,View source code on GitHub,eVolveMEP Data Table Tools/ToolsDialog!ViewSourceCodeLabel.Text,View source code on GitHub,,Afficher le code source sur GitHub
eVolveMEP CSV Data Exchange/ConfigurationForm,ViewSourceCodeLabel.Text,View source code on GitHub,eVolveMEP CSV Data Exchange/ConfigurationForm!ViewSourceCodeLabel.Text,View source code on GitHub,,Afficher le code source sur GitHub
eVolveMEP CSV Data Exchange/Properties/Resources,WhenXSelectedFolderYMustExistError,"When {0} is selected, the folder location in {1} must exist.",eVolveMEP CSV Data Exchange/Properties/Resources!WhenXSelectedFolderYMustExistError,"When {0} is selected, the folder location in {1} must exist.",Tags refer to data entry fields,"Lorsque l'élément {0} est sélectionné, l'emplacement du dossier dans {1} doit exister."
eVolveMEP CSV Data Exchange/Properties/Resources,WhenXSelectedYMustExistError,"When {0} is selected, {1} must exist.",eVolveMEP CSV Data Exchange/Properties/Resources!WhenXSelectedYMustExistError,"When {0} is selected, {1} must exist.",Tags refer to data entry fields,"Lorsque l'élément {0} est sélectionné, {1} doit exister."
eVolveMEP CSV Data Exchange/Properties/Resources,XElementsProcessedNotice,{0} element(s) processed.,eVolveMEP CSV Data Exchange/Properties/Resources!XElementsProcessedNotice,{0} element(s) processed.,Tag is a number,{0} élément(s) traité(s).
